Date,BLUJ.J,FDS.N,MORN.OQ,MSCI.N,IHS.N^G16,AXP.N,COF.N,DFS.N,029780.KS,CAB.AX,CIEL3.SA,4819.T,EEFT.OQ,FIS.N,GPN.N,GDOT.N,HPY.N^D16,MA.N,UEPS.OQ,RDCD3.SA^J12,TSS.N,V.N,WEX.N,WDIG.DE,FISV.OQ,8076.TWO,INGC.PA,6588.T,PAY.N,ZBRA.OQ,JKHY.OQ,TEMN.S,EPAY.OQ,VOCS.O^F14,4307.T,TCS.BO,EBIX.OQ,SLH.N^C16,ADVS.O^G15,SIM.CO,SSNC.OQ,DH.TO,DST.N,FICO.N,MSY.L^F12,ACIW.OQ,SONE.O^B12,MOVE.O^K14,RMV.L,SLGC.PA^D11,IRE.AX,ORC.ST^C12,MONY.L,FLT.N,3769.T,NTSP.O^G13,FDSA.L,MONI.L,ZG.OQ,RATE.N,ENV.N,CASS.OQ,MPLU3.SA,FITE.BO,WING.DE,GWRE.N,AWAY.O^L15,SPNS.OQ,LXFT.N,TRI.TO,8570.T,8253.T,EVTC.N,PAYS.L,VNTV.N,6287.T,6206.TW,XRO.NZ,TIG.L^K15,ELLI.N,035600.KQ,2120.T,TRLA.N^B15,POLA.BO,8018.HK,PAYP.L,WLN.PA,8519.T,TREE.OQ,KTC.BK,SYF.N,HAWK.OQ,HAWKB.O^E15,EDEN.PA,0327.HK,QTWO.N,BNFT.OQ,SLVX.SI,IPP.AX^B16,ZPG.L,8325.HK,046440.KQ,036800.KQ,YDLE.O^K15,CASH.OQ,WPG.L,EQN.L,FDC.N,LEJU.N,SQ.N,025770.KQ,060250.KQ,PYPL.OQ,034310.KS,DAL.MI,3611.TWO,8114.TW,BKFS.N,MYO.AX,GFTG.DE,SFUN.N,Z.OQ,GTO.AS,WK.N,2428.T,INFO.OQ,XTLY.N,TBBK.OQ,QIWI.OQ,FSMARTm.BK,NXGN.L,USDKRW WMCO Curncy,AUDUSD WMCO Curncy,USDBRL WMCO Curncy,USDJPY WMCO Curncy,EURUSD WMCO Curncy,USDTWD WMCO Curncy,USDCHF WMCO Curncy,USDINR WMCO Curncy,USDDKK WMCO Curncy,USDCAD WMCO Curncy,GBPUSD WMCO Curncy,USDSEK WMCO Curncy,NZDUSD WMCO Curncy,USDHKD WMCO Curncy,USDTHB WMCO Curncy,USDSGD WMCO Curncy,USDZAR WMCO Curncy,USDUSD WMCO Curncy
5-Jan-11,697,93.71,54.5,39.32,81.36,45.04,45.52,19.17,60300,5.82,13.2,205400,18.09,28.44,46.18,55.18,15.83,230.29,12.08,20.65,15.86,72.09,47.52,10.37,58.93,60.5,26.465,423,41.46,37.8,29.5,36,22.03,26.12,1903,1158.05,24.32,51.59,57.85,817,19.76,19.8,45.01,23.04,332.4,26.85,7.14,2.61,811,34.75,8.64,128.5,75.65,30.4,224600,12.77,1550,18.75,,,16.49,38.13,34.25,878.35,58.84,,,2.78,,37.37,1214,1390,,57,,1089,80.9,2.9,15,,8250,93400,,189.85,,362,,258,8.81,13,,,,18.835,2.85,,,0.35,0.55,,0.51,5470,4075,,14.2,,,,,,3910,3170,,63000,6.035,81.3,57.7,,,4.3,72.05,,31.515,,66000,,,,,,,1125.9,0.9978,1.6712,83.31,1.3145,29.175,0.9658,45.325,5.6696,0.9958,1.5464,6.7755,0.7611,7.7709,30.18,1.2938,6.7318,1
6-Jan-11,696,94.13,54.25,39.02,80.51,44.73,45.4,18.99,58400,5.86,13.1,203000,18.23,28.38,45.92,55.99,16.49,231.12,11.74,20.3,15.96,73.17,48.29,10.455,59.01,60.3,26.75,425,41.59,37.48,29.35,36,22.07,26.8,1948,1174.2,24.71,51.48,59.11,838,19.74,20.04,45.22,23.12,341.5,26.59,7.13,2.7,810,34.75,8.66,,76.45,30.03,224400,13.34,1540,19.25,,,16.55,38.77,33.4,865.1,58.7,,,2.81,,37.46,1221,1455,,57.75,,1097,81,2.99,15,,7860,97500,,185.6,,359,,264,8.42,13.1,,,,19.01,2.92,,,0.35,0.5,,,5400,4125,,13.98,,,,,,3635,3200,,62000,6.095,86.5,58.2,,,4.18,71.6,,32.165,,67000,,,,,,,1119.8,0.9946,1.6913,83.22,1.3036,29.274,0.9645,45.245,5.7158,0.9973,1.548,6.8603,0.756,7.7738,30.23,1.2943,6.8018,1
7-Jan-11,691,94.39,53.28,38.76,79.39,44.36,45.41,18.9,57600,6.08,12.99,198100,18.43,28.5,47.47,57.16,16.27,231.09,11.34,20,15.95,72.96,46.99,10.55,59.43,59.8,27.24,425,41.69,37.6,29.42,35.15,21.2,26.2,1904,1141.6,24.48,50.98,58.82,824,19.71,20.43,44.75,22.52,338.9,26.09,7.04,2.6,808.5,34.85,8.71,126.5,76.5,29.99,225100,13.31,1540,19,,,15.99,38.81,33.5,833.45,58.04,,,2.78,,37.31,1209,1434,,61,,1098,79.6,2.96,15.5,,7640,98300,,171.4,,360,,262,8.28,13.1,,,,19.035,2.94,,,0.35,0.5,,,5410,4120,,13.78,,,,,,3670,3140,,62800,6.005,85.2,57.7,,,4.3,70.54,,31.915,,67200,,,,,,,1122.3,0.9985,1.6803,82.975,1.2983,29.37,0.964,45.385,5.7387,0.9909,1.5571,6.8908,0.7622,7.7716,30.385,1.2938,6.7673,1
10-Jan-11,685,94.62,53.26,38.64,78.93,44.46,45.57,19.12,59400,5.91,13.16,,18.53,28.53,47.74,58.14,16.07,230.2,11.25,20.2,16.02,71.81,47.07,10.485,59.175,59.4,27.15,,43.63,37.71,29.51,35,21.14,26.56,,1128.5,24.94,51.93,60.84,815,20.36,20.89,45.18,22.71,330,26.56,7.02,2.56,793,34.77,8.71,127,76.3,30,,13.175,1550,19.25,,,15.67,38.55,33.9,794.85,57.03,,,2.75,,37.16,,,,60,,,79.6,2.96,15,,7760,,,166.15,,350,,,8.14,12.9,,,,18.975,2.86,,,0.345,,,,5440,4140,,13.99,,,,,,3595,2970,,63300,6,84.8,57.8,,,4.25,69.81,,31.345,,,,,,,,,1124.45,0.9909,1.6924,82.72,1.294,29.234,0.9698,45.45,5.7566,0.9952,1.5569,6.885,0.76,7.777,30.72,1.2992,6.8342,1
11-Jan-11,690,94.85,53.29,39.07,79,45.04,46.2,19.24,59400,5.81,12.97,205900,18.8,28.68,47.51,57.72,16.19,229.4,11.45,20,16.04,71.88,48.22,11.05,60.18,59.7,27.525,421,42.85,38.51,29.64,36.1,21.21,27.36,1883,1099.4,25.25,52.17,61.82,813,20.04,21,45.69,22.72,335.6,26.57,6.99,2.57,801.5,34.9,8.53,130.75,77.35,31.15,229700,13.15,1556,20,,,16.23,39.21,33.67,772.45,58.8,,,2.83,,37.69,1242,1433,,60.5,,1113,79.6,2.91,15.75,,7980,99600,,166.6,,359,,260,8.71,12.8,,,,19.74,2.87,,,0.345,0.505,,,5500,4180,,14.17,,,,,,3495,2855,,62400,6.085,85.3,57.7,,,4.47,72,,33.5,,70500,,,,,,,1125.15,0.9848,1.6902,83.445,1.2933,29.189,0.9767,45.18,5.7604,0.9918,1.5568,6.8571,0.7585,7.7768,30.53,1.2957,6.8811,1
12-Jan-11,684,94.44,53.26,39.72,79.54,45,47.17,19.9,59100,5.84,12.96,207700,19.11,29.53,47.52,58.92,16.36,232.83,11.59,20,16.13,72.61,48.96,10.8,60.82,59.7,27.53,415,42.99,38.55,29.68,37.05,21.18,27.99,1890,1135.5,25.16,52.11,61.11,820,20.13,20.9,46.48,23.08,332.9,26.79,6.93,2.64,799.5,34.98,8.53,131,85.75,30.94,240700,13.24,1550,19.75,,,16.03,39.02,34,804.4,59.36,,,2.85,,37.68,1244,1455,,63,,1101,80.3,2.9,16.75,,7700,102000,,169.95,,350.5,,264,8.4,13.1,,,,19.475,2.83,,,0.35,,,,5410,4210,,14.91,,,,,,3570,3060,,62500,6.15,85,58,,,4.69,78.73,,33.67,,67400,,,,,,,1119.45,0.993,1.6747,83.3,1.3062,29.082,0.9717,45.135,5.7035,0.9855,1.5698,6.7703,0.7587,7.7742,30.4,1.2894,6.8295,1
13-Jan-11,685,94.5,53.78,36.75,79.15,45.06,46.69,20.04,58000,5.94,12.77,224500,18.99,29.64,47.12,60.9,16.23,233.51,11.9,19.68,15.81,71.14,48,10.92,60.76,59.4,27.41,418,44.26,38.79,29.68,36.75,21.13,27.85,1892,1124.2,24.59,52.23,59.73,828,19.52,21.08,46.43,23.16,334.6,26.36,6.85,2.57,774,34.9,8.58,128.5,86.55,30.2,229000,14.02,1526,20.5,,,16.15,38.73,33.5,788.9,59.71,,,2.97,,37.62,1269,1519,,63,,1097,79.9,2.8,16.5,,7570,99800,,167.5,,362.25,,268,8.67,13.1,,,,18.7,2.74,,,0.345,,,,5250,4215,,14.82,,,,,,3465,2900,,62500,6.365,84,58.3,,,4.65,79.72,,33.935,,68000,,,,,,,1114.15,0.998,1.6695,82.815,1.3335,29.018,0.9648,45.24,5.587,0.9883,1.5854,6.7048,0.7684,7.7739,30.475,1.286,6.821,1
14-Jan-11,685,95.05,54.6,36.42,78.77,46.25,48.38,20.38,57300,5.93,12.93,274500,19.04,30.12,47.29,61.06,16.16,236.91,11.9,19.88,16.41,71.12,48.28,11.13,61.92,58.7,27.45,404,43.82,38.67,30.6,37.2,21.41,28.33,1866,1118.7,24.94,53.37,60.29,825,19,21.08,46.55,23.54,330.4,26.57,6.86,2.64,777,34.9,8.68,127.75,87,30.25,223600,14.46,1524,20.75,,,15.83,38.37,33.6,783.25,59.19,,,2.99,,37.94,1237,1477,,63.5,,1101,80.7,2.55,16.25,,7750,96000,,168.6,,349,,268,8.45,13.1,,,,18.425,2.71,,,0.345,0.52,,0.97,5230,4195,,15.25,,,,,,3510,2910,,62400,6.5,83.5,58.2,,,4.72,80.5,,33.955,,66800,,,,,,,1114.6,0.9887,1.6815,82.82,1.3362,29.017,0.964,45.385,5.5753,0.9913,1.5881,6.6938,0.7666,7.7741,30.485,1.2882,6.9438,1
17-Jan-11,681,,,,,,,,56900,5.87,12.83,258200,,,,,,,,19.66,,,,11.53,,58.7,26.935,406,,,,36,,,1881,1138.15,,,,830,,21.15,,,330.6,,,,770,34.84,8.62,127,86.85,,216100,,1540,20.25,,,,,32.7,764.8,60.09,,,,,37.81,1225,1478,,63.75,,1106,81.3,2.65,16.5,,7600,97000,,169.15,,354,,268,,12.9,,,,18.805,2.86,,,0.345,0.52,,1.19,5450,4110,,,,,,,,3465,2800,,62200,6.49,84.5,58,,,4.73,,,33.895,,67500,,,,,,,1117.55,0.9951,1.6836,82.635,1.3288,29.018,0.9641,45.52,5.6069,0.986,1.5907,6.7185,0.7731,7.7761,30.565,1.2876,6.8943,1
18-Jan-11,695,98.03,55.55,36.29,79.14,46.37,48.01,20.74,56000,5.85,12.97,247400,19.25,30.2,47.84,61.63,16.14,237.63,12.11,20,17.45,71.21,48.39,12.285,62.5,58.6,27.36,408,43.8,39.03,31.07,35.1,21.44,28.15,1847,1200.55,25.27,54.18,60.26,843,18.87,20.98,47.15,24.08,331.9,26.74,6.75,2.53,799,37.73,8.82,125.5,89.05,30.23,219000,14.4,1527,19.75,,,16.44,38.46,34.55,764.25,59.3,,,3.07,,38.26,1218,1483,,60.5,,1097,81.7,2.65,16.5,,7790,97700,,178,,364,,275,8.76,12.9,,,,18.65,2.9,,,,0.51,,1.01,5340,4100,,15.4,,,,,,3340,2870,,63500,6.54,83.6,58.1,,,4.86,82.94,,36.135,,68100,,,,,,,1116.6,0.9971,1.6742,82.69,1.3391,29.026,0.962,45.405,5.5642,0.9921,1.5987,6.6614,0.7704,7.7774,30.495,1.2832,6.9158,1
