Identifier,PriceDate,Close
CASH.OQ,02-09-2017 00:00,89.2
EQN.L,02-09-2017 00:00,194.75
FDC.N,02-09-2017 00:00,15.53
SQ.N,02-09-2017 00:00,14.73
WPG.L,02-09-2017 00:00,274
GTO.AS,02-09-2017 00:00,54.17
WK.N,02-09-2017 00:00,13.3
WLN.PA,02-09-2017 00:00,25.45
LXFT.N,02-09-2017 00:00,61.3
RATE.N,02-09-2017 00:00,10.75
TREE.OQ,02-09-2017 00:00,116.8
MONY.L,02-09-2017 00:00,341
ENV.N,02-09-2017 00:00,38.15
FDS.N,02-09-2017 00:00,175.93
MORN.OQ,02-09-2017 00:00,77.03
MSCI.N,02-09-2017 00:00,90.33
INFO.OQ,02-09-2017 00:00,39.74
TRI.TO,02-09-2017 00:00,56.8
8570.T,02-09-2017 00:00,2041
AXP.N,02-09-2017 00:00,78.18
COF.N,02-09-2017 00:00,88.54
8253.T,02-09-2017 00:00,2070
DFS.N,02-09-2017 00:00,68.95
KTC.BK,02-09-2017 00:00,140
029780.KS,02-09-2017 00:00,42050
SYF.N,02-09-2017 00:00,36.49
HAWK.OQ,02-09-2017 00:00,38.15
CASS.OQ,02-09-2017 00:00,65.28
CIEL3.SA,02-09-2017 00:00,28
EDEN.PA,02-09-2017 00:00,20.685
EEFT.OQ,02-09-2017 00:00,79.77
EVTC.N,02-09-2017 00:00,17.3
FIS.N,02-09-2017 00:00,80.75
FLT.N,02-09-2017 00:00,167.86
GPN.N,02-09-2017 00:00,78.62
3769.T,02-09-2017 00:00,6470
GDOT.N,02-09-2017 00:00,26.7
MA.N,02-09-2017 00:00,107.3
MPLU3.SA,02-09-2017 00:00,37.45
UEPS.OQ,02-09-2017 00:00,12.95
PYPL.OQ,02-09-2017 00:00,40.83
PAYS.L,02-09-2017 00:00,406.7
TSS.N,02-09-2017 00:00,53.69
VNTV.N,02-09-2017 00:00,63.74
V.N,02-09-2017 00:00,85.58
WEX.N,02-09-2017 00:00,118.57
WDIG.DE,02-09-2017 00:00,45.195
FISV.OQ,02-09-2017 00:00,109.47
6588.T,02-09-2017 00:00,605
3611.TWO,02-09-2017 00:00,266
ZBRA.OQ,02-09-2017 00:00,84.63
8076.TWO,02-09-2017 00:00,61.2
INGC.PA,02-09-2017 00:00,77.31
0327.HK,02-09-2017 00:00,5.66
PAY.N,02-09-2017 00:00,19.3
BKFS.N,02-09-2017 00:00,38.45
JKHY.OQ,02-09-2017 00:00,90.82
QTWO.N,02-09-2017 00:00,32.05
TEMN.S,02-09-2017 00:00,73.65
EPAY.OQ,02-09-2017 00:00,26.28
MYO.AX,02-09-2017 00:00,3.51
XRO.NZ,02-09-2017 00:00,19.1
GFTG.DE,02-09-2017 00:00,19.49
4307.T,02-09-2017 00:00,3700
WING.DE,02-09-2017 00:00,67.9
EBIX.OQ,02-09-2017 00:00,57.15
GWRE.N,02-09-2017 00:00,54.09
SIM.CO,02-09-2017 00:00,358.9
SSNC.OQ,02-09-2017 00:00,32.65
DH.TO,02-09-2017 00:00,24.4
DST.N,02-09-2017 00:00,116.56
ELLI.N,02-09-2017 00:00,90.18
FICO.N,02-09-2017 00:00,125.43
IRE.AX,02-09-2017 00:00,11.05
ACIW.OQ,02-09-2017 00:00,19.73
035600.KQ,02-09-2017 00:00,11050
SFUN.N,02-09-2017 00:00,3.35
2120.T,02-09-2017 00:00,766
RMV.L,02-09-2017 00:00,4236
Z.OQ,02-09-2017 00:00,34.01
XTLY.N,02-09-2017 00:00,12.25
TBBK.OQ,02-09-2017 00:00,5.29
8114.TW,02-09-2017 00:00,178
BLUJ.J,02-09-2017 00:00,1802
ZPLAZ.L,02-09-2017 00:00,385.9
QIWI.OQ,02-09-2017 00:00,14.28
FSMARTm.BK,02-09-2017 00:00,18.8
NXGN.L,02-09-2017 00:00,569
