,close,dateTime,Date,high,low,open,volume,,Close,high,low,open,volume,Straddle,,High,Low,open Call,Open Put,Straddle open,Close call,Close Put,Straddle Close,,TP,SL,1.05,0.95,
Call,202.75,2018-11-30 10:15:00+05:30,30-11-2018,211,200.75,203,152625,Put,185.7,187.25,179,186.65,193425,,388.45,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,,
,201.4,2018-11-30 10:30:00+05:30,30-11-2018,206.85,201.2,202.15,105375,,185.35,186.5,180.4,185.3,115650,,386.75,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,201.7,2018-11-30 10:45:00+05:30,30-11-2018,204.45,199.1,200.4,99150,,184.05,186.7,182.2,186.3,78075,,385.75,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,206.4,2018-11-30 11:00:00+05:30,30-11-2018,208.7,198.75,201.7,141675,,179,186,175.3,184.05,164700,,385.4,FALSE,TRUE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,205.1,2018-11-30 11:15:00+05:30,30-11-2018,208.25,203.65,206.4,73125,,180.45,182.45,178,179,67500,,385.55,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,194.6,2018-11-30 11:30:00+05:30,30-11-2018,206.4,194.45,205.1,200175,,192.25,192.25,179.85,180.45,218625,,386.85,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,194.5,2018-11-30 11:45:00+05:30,30-11-2018,196.75,189.15,194.55,208350,,191.85,198.4,189.65,192.25,254625,,386.35,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,192.5,2018-11-30 12:00:00+05:30,30-11-2018,195.6,188.35,194.5,151125,,193.9,199.15,191.75,191.75,147000,,386.4,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,194.55,2018-11-30 12:15:00+05:30,30-11-2018,198.25,191,192.5,136800,,193.1,196.65,189.5,193.9,119100,,387.65,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,195.5,2018-11-30 12:30:00+05:30,30-11-2018,196.2,191.5,194.55,109350,,192,196,190.2,193.45,95025,,387.5,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,191.25,2018-11-30 12:45:00+05:30,30-11-2018,194.7,184.2,194.65,189300,,200.5,206.55,192,192,262500,,391.75,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,188.05,2018-11-30 13:00:00+05:30,30-11-2018,192.8,186.5,191.25,128025,,206,207.05,199.15,200.5,147825,,394.05,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,186.95,2018-11-30 13:15:00+05:30,30-11-2018,191.35,184.25,188.05,75525,,208.05,211.4,202.55,206,109500,,395,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,185.15,2018-11-30 13:30:00+05:30,30-11-2018,189.95,179.6,188.05,219975,,212,217,206.35,207.55,235650,,397.15,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,182.9,2018-11-30 13:45:00+05:30,30-11-2018,187.95,181.15,185.15,134700,,214.55,216.5,209.05,212,126375,,397.45,TRUE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,183.7,2018-11-30 14:00:00+05:30,30-11-2018,185.05,179.75,182.9,85200,,211.95,216.35,210,214.55,86700,,395.65,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,177.3,2018-11-30 14:15:00+05:30,30-11-2018,185.25,174.15,183.7,161400,,218.85,219.65,210,211.95,114150,,396.15,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,190,2018-11-30 14:30:00+05:30,30-11-2018,193.25,175.25,176.35,247650,,199,218.9,194.6,218.65,216900,,389,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
,184,2018-11-30 14:45:00+05:30,30-11-2018,191,178.5,190,262200,,213,217.15,197.95,199,333525,,397,FALSE,FALSE,203,186.65,389.65,,,#VALUE!,,409.1325,370.1675,0,0,0
